Country,Economic status,Coastal population,Waste generation rate (kg/person/day),% Plastic in waste stream,% Inadequately managed waste,% Littered waste,Waste generation (kg/day),Plastic waste generation (kg/day),Inadequately managed plastic waste (kg/day),"Plastic waste littered
 (kg/day)",Mismanaged plastic waste (kg/person/day),"Mismanaged plastic waste in 2010 in tonnes
 (tonnes)",Mismanaged plastic waste in 2015 in tonnes,Region,Plastic waste generation per person(kg/day/person),"GDP per capita",
Albania,LMI,2530533,0.77,8.95,44.6676032,2,1948510.41,174391.6817,77896.58439,3487.833634,0.032160979,29705.31258,63050.75025,Europe,0.068915,10749.48745,
Algeria,UMI,16556580,1.2,11.95,58.0694479,2,19867896,2374213.572,1378692.713,47484.27144,0.086139588,520554.5994,1017444.301,Africa,0.1434,10970.70637,
Angola,LMI,3790041,0.48,12.95,70.7150141,2,1819219.68,235588.9486,166596.7582,4711.778971,0.045199653,62527.61606,136769.5391,Africa,0.06216,7692.434286,
Anguilla,HIC,14561,2.1,11.95,1.8690227,2,30578.1,3654.08295,68.29563981,73.081659,0.009709312,51.60271407,72.94925298,North America,0.25095,,
Antigua & Barbuda,HIC,66843,5.5,11.95,5.8163552,2,367636.5,43932.56175,2555.27384,878.651235,0.051372995,1253.382652,1385.280594,North America,0.65725,18205.73853,
Argentina,UMI,16449245,1.22,14.95,12.4079737,2,20068078.9,3000177.796,372261.2718,60003.55591,0.026278703,157776.6621,320197.076,South America,0.18239,23521.27018,
Aruba,HIC,137910,2.1,11.95,0.9411128,2,289611,34608.5145,325.7051598,692.17029,0.007380723,371.5245392,476.1996733,South America,0.25095,34343.15132,
Australia,HIC,17235954,2.23,4.95,1.31E-10,2,38436177.42,1902590.782,2.49E-06,38051.81565,0.0022077,13888.91271,24653.09769,Oceania,0.110385,44991.78371,
Bahamas,HIC,341145,3.25,11.95,0.7561222,2,1108721.25,132492.1894,1001.802857,2649.843788,0.01070409,1332.851025,1718.377632,North America,0.388375,36504.40705,
Bahrain,HIC,743574,1.1,11.95,10.2647015,2,817931.4,97742.8023,10033.00689,1954.856046,0.01612195,4375.569973,9914.713769,Asia,0.13145,44599.80497,
Bangladesh,LI,70874124,0.43,7.95,87.0305297,2,30475873.32,2422831.929,2108603.461,48456.63858,0.030435087,787326.9365,2210229.856,Asia,0.034185,2883.466794,
Barbados,HIC,276784,4.75,11.95,4.0733528,2,1314724,157109.518,6399.624951,3142.19036,0.034473869,3482.762588,3718.788252,North America,0.567625,15596.61681,
Belgium,HIC,4747957,1.33,5.95,1.35E-09,2,6314782.81,375729.5772,5.07E-06,7514.591544,0.0015827,2742.825915,5738.855479,Europe,0.079135,47971.63031,
Belize,UMI,202429,2.87,5.95,28.8488568,2,580971.23,34567.78819,9972.411712,691.3557637,0.05267905,3892.275129,6041.957627,North America,0.170765,7294.684143,
Benin,LI,3235418,0.54,7.95,82.847811,2,1747125.72,138896.4947,115072.7054,2777.929895,0.036425165,43015.4819,119467.2473,Africa,0.04293,2704.705484,
Bermuda,HIC,66966,2.1,11.95,2.22E-14,2,140628.6,16805.1177,3.73E-12,336.102354,0.005019,122.6773592,173.4254074,North America,0.25095,88399.91595,
Bosnia and Herzegovina,UMI,585582,1.2,11.95,40.2663221,2,702698.4,83972.4588,33812.62074,1679.449176,0.060609906,12954.60552,20201.07419,Europe,0.1434,10938.28505,
Brazil,UMI,74696771,1.03,15.95,8.5244802,2,76937674.13,12271559.02,1046086.619,245431.1805,0.017290142,471403.9969,954198.0918,South America,0.164285,14873.20832,
British Virgin Islands,HIC,29674,2.1,11.95,0.0415284,2,62315.4,7446.6903,3.092491335,148.933806,0.005123216,55.48959853,78.44402827,North America,0.25095,,
Brunei,HIC,359871,0.87,2.95,0.7691439,2,313087.77,9236.089215,71.0388168,184.7217843,0.000710701,93.3526194,341.0392531,Asia,0.025665,67753.42177,
Bulgaria,UMI,1002695,1.28,11.95,31.474274,2,1283449.6,153372.2272,48272.79503,3067.444544,0.05120225,18739.18744,25769.97515,Europe,0.15296,17440.67188,
Burma/Myanmar,LI,18988522,0.44,16.95,86.6572256,2,8354949.68,1416163.971,1227208.407,28323.27942,0.066120559,458269.0655,1149266.557,Asia,0.07458,3129.920255,
