"ï..Country","Economic.status","Coastal.population","Waste.generation.rate..kg.person.day.","X..Plastic.in.waste.stream","X..Inadequately.managed.waste","X..Littered.waste","Waste.generation..kg.day.","Plastic.waste.generation..kg.day.","Inadequately.managed.plastic.waste..kg.day.","Plastic.waste.littered...kg.day.","Mismanaged.plastic.waste..kg.person.day.","Mismanaged.plastic.waste.in.2010...tonnes.","Mismanaged.plastic.waste.in.2010...tonnes..1","Region"
"Albania","LMI",2530533,0.77,8.95,44.6676032,2,1948510.41,174391.6817,77896.58439,3487.833634,"0.032160979",29705.31258,63050.75025,"Europe & Central Asia"
"Algeria","UMI",16556580,1.2,11.95,58.0694479,2,19867896,2374213.572,1378692.713,47484.27144,"0.086139588",520554.5994,1017444.301,"Middle East & North Africa"
"Angola","LMI",3790041,0.48,12.95,70.7150141,2,1819219.68,235588.9486,166596.7582,4711.778971,"0.045199653",62527.61606,136769.5391,"Sub-Saharan Africa"
"Argentina","UMI",16449245,1.22,14.95,12.4079737,2,20068078.9,3000177.796,372261.2718,60003.55591,"0.026278703",157776.6621,320197.076,"Latin America & Caribbean"
"Aruba","HIC",137910,2.1,11.95,0.9411128,2,289611,34608.5145,325.7051598,692.17029,"0.007380723",371.5245392,476.1996733,"Latin America & Caribbean"
"Australia","HIC",17235954,2.23,4.95,1.31e-10,2,38436177.42,1902590.782,2.49e-06,38051.81565,"0.0022077",13888.91271,24653.09769,"East Asia & Pacific"
"Bahrain","HIC",743574,1.1,11.95,10.2647015,2,817931.4,97742.8023,10033.00689,1954.856046,"0.01612195",4375.569973,9914.713769,"Middle East & North Africa"
"Bangladesh","LI",70874124,0.43,7.95,87.0305297,2,30475873.32,2422831.929,2108603.461,48456.63858,"0.030435087",787326.9365,2210229.856,"South Asia"
"Barbados","HIC",276784,4.75,11.95,4.0733528,2,1314724,157109.518,6399.624951,3142.19036,"0.034473869",3482.762588,3718.788252,"Latin America & Caribbean"
"Belgium","HIC",4747957,1.33,5.95,1.35e-09,2,6314782.81,375729.5772,5.07e-06,7514.591544,"0.0015827",2742.825915,5738.855479,"Europe & Central Asia"
"Belize","UMI",202429,2.87,5.95,28.8488568,2,580971.23,34567.78819,9972.411712,691.3557637,"0.05267905",3892.275129,6041.957627,"Latin America & Caribbean"
